field,missing_rate,table
code,0.0,qtick
date,0.0,qtick
time,0.0,qtick
src,0.0,qtick
state,0.0,qtick
bp0,0.0,qtick
bp1,0.0,qtick
bp2,0.0,qtick
bp3,0.0,qtick
bp4,0.0,qtick
bp5,0.0,qtick
bp6,0.0,qtick
bp7,0.0,qtick
bp8,0.0,qtick
bp9,0.0,qtick
bv0,0.0,qtick
bv1,0.0,qtick
bv2,0.0,qtick
bv3,0.0,qtick
bv4,0.0,qtick
bv5,0.0,qtick
bv6,0.0,qtick
bv7,0.0,qtick
bv8,0.0,qtick
bv9,0.0,qtick
ap0,0.0,qtick
ap1,0.0,qtick
ap2,0.0,qtick
ap3,0.0,qtick
ap4,0.0,qtick
ap5,0.0,qtick
ap6,0.0,qtick
ap7,0.0,qtick
ap8,0.0,qtick
ap9,0.0,qtick
av0,0.0,qtick
av1,0.0,qtick
av2,0.0,qtick
av3,0.0,qtick
av4,0.0,qtick
av5,0.0,qtick
av6,0.0,qtick
av7,0.0,qtick
av8,0.0,qtick
av9,0.0,qtick
new_price,0.0,qtick
new_volume,0.0,qtick
new_amount,0.0,qtick
sum_volume,0.0,qtick
sum_amount,0.0,qtick
new_bid_volume,0.0,qtick
new_bid_amount,0.0,qtick
new_ask_volume,0.0,qtick
new_ask_amount,0.0,qtick
open,0.0,qtick
close,0.0,qtick
settle,0.0,qtick
open_interest,0.0,qtick
dtype,0.0,qtick
market,0.0,qtick
name,0.0,qtick
pre_close,0.0,qtick
upper_limit,0.0,qtick
lower_limit,0.0,qtick
pre_settle,0.0,qtick
pre_open_interest,0.0,qtick
multiple,0.0,qtick
price_step,0.0,qtick
create_date,0.0,qtick
list_date,0.0,qtick
expire_date,0.0,qtick
start_settle_date,0.0,qtick
end_settle_date,0.0,qtick
exercise_date,0.0,qtick
exercise_price,0.0,qtick
cp_flag,0.0,qtick
underlying_code,0.0,qtick
trading_date,0.0,qtick
date_only,0.0,qtick
time_only,0.0,qtick
datetime,0.0,qtick
code,0.0,qorder
date,0.0,qorder
time,0.0,qorder
order_no,0.0,qorder
bs_flag,0.0,qorder
order_type,0.0,qorder
order_price,0.0,qorder
order_volume,0.0,qorder
date_only,0.0,qorder
time_only,0.0,qorder
datetime,0.0103,qorder
code,0.0,qknock
date,0.0,qknock
time,0.0,qknock
match_no,0.0,qknock
bid_order_no,0.0,qknock
ask_order_no,0.0,qknock
match_price,0.0,qknock
match_volume,0.0,qknock
date_only,0.0,qknock
time_only,0.0,qknock
datetime,0.0169,qknock
